Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
24/10/2022 19:26:51,Back,Nikola Milojevic,1.20180438448567,35.58,285438105445,
24/10/2022 19:21:16,Back,Nikola Milojevic,1.27,4.48,285437660989,
24/10/2022 19:20:53,Back,Nikola Milojevic,1.23,4.63,285437606284,
24/10/2022 19:20:25,Back,Nikola Milojevic,1.16069963811821,8.29,285437544879,
24/10/2022 19:20:02,Back,Nikola Milojevic,1.13,5.06,285437491873,
24/10/2022 19:07:18,Back,Nikola Milojevic,1.21,4.74,285435735015,
24/10/2022 19:05:45,Back,Nikola Milojevic,1.13,5.01,285435519374,
24/10/2022 19:05:29,Back,Nikola Milojevic,1.12,5.65,285435485765,
24/10/2022 18:59:18,Back,Nikola Milojevic,1.13,30.84,285434758897,
24/10/2022 18:57:28,Back,Nikola Milojevic,1.18,16.48,285434566758,
24/10/2022 18:56:33,Back,Nikola Milojevic,1.2,19.59,285434474878,
24/10/2022 18:56:00,Back,Nikola Milojevic,1.24,12.08,285434421669,
