Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
07/03/2022 00:45:09,Back,Leylah Fernandez,4.3,3.29,260856401430,
07/03/2022 00:43:00,Back,Leylah Fernandez,2.72,2.9,260856319940,
07/03/2022 00:14:00,Back,Leylah Fernandez,2.02,4.9,260855127935,
06/03/2022 23:33:37,Back,Leylah Fernandez,2.28,4.25,260853355944,
06/03/2022 22:54:59,Lay,Leylah Fernandez,1.1,37.84,260851627054,
06/03/2022 22:52:16,Back,Leylah Fernandez,1.13,27.13,260851515587,
06/03/2022 22:51:28,Lay,Leylah Fernandez,1.15,26.66,260851478795,
06/03/2022 22:47:07,Back,Leylah Fernandez,1.13,33.92,260851255119,
06/03/2022 22:45:25,Lay,Leylah Fernandez,1.15,33.33,260851147426,
06/03/2022 22:44:25,Back,Leylah Fernandez,1.18,24.41,260851100386,
06/03/2022 22:42:37,Lay,Leylah Fernandez,1.21,23.8,260850989857,
