Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
07/03/2022 23:26:06,Back,Lucia Bronzetti,1.08,63.82,10393,
07/03/2022 23:19:10,Lay,Lucia Bronzetti,1.12,61.54,10386,
07/03/2022 23:17:01,Back,Lucia Bronzetti,1.18,28.43,10384,
07/03/2022 23:12:59,Lay,Lucia Bronzetti,1.3,25.81,10380,
07/03/2022 23:10:45,Back,Lucia Bronzetti,1.2,30.24,10379,
07/03/2022 23:03:01,Lay,Lucia Bronzetti,1.27,28.57,10373,
07/03/2022 22:59:19,Back,Lucia Bronzetti,1.42,15.52,10371,
07/03/2022 22:54:58,Lay,Lucia Bronzetti,1.57,14.04,10368,
07/03/2022 22:51:24,Back,Lucia Bronzetti,1.37,18.82,10365,
07/03/2022 22:45:35,Lay,Lucia Bronzetti,1.45,17.78,10355,
