Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
15/03/2022 03:22:14,Back,Paula Badosa,1.29,19.12,10235,
15/03/2022 03:16:33,Lay,Paula Badosa,1.48,16.67,10232,
15/03/2022 03:09:22,Back,Paula Badosa,1.26,20.02,10229,
15/03/2022 03:02:54,Lay,Paula Badosa,1.45,17.39,10227,
15/03/2022 02:54:04,Back,Paula Badosa,1.26,21.11,10222,
15/03/2022 02:50:38,Lay,Paula Badosa,1.43,18.6,10219,
15/03/2022 02:43:57,Back,Paula Badosa,1.58,18.25,10216,
15/03/2022 02:39:54,Lay,Paula Badosa,1.37,21.05,10214,
15/03/2022 02:35:14,Back,Paula Badosa,1.53,20.02,10209,
15/03/2022 02:28:19,Lay,Paula Badosa,1.34,22.86,10204,
