Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
23/04/2022 16:20:15,Back,Veronika Kudermetova,1.19,29.63,10421,
23/04/2022 16:17:21,Lay,Veronika Kudermetova,1.29,27.59,10420,
23/04/2022 16:14:37,Back,Veronika Kudermetova,1.18,32.87,10418,
23/04/2022 16:07:45,Lay,Veronika Kudermetova,1.25,30.77,10413,
23/04/2022 16:05:09,Back,Veronika Kudermetova,1.34,18.16,10411,
23/04/2022 16:00:16,Lay,Veronika Kudermetova,1.49,16.33,10407,
23/04/2022 15:56:58,Lay,Veronika Kudermetova,1.85,0.2,10405,
23/04/2022 15:44:06,Back,Veronika Kudermetova,1.94,12.56,10399,
23/04/2022 15:40:15,Lay,Veronika Kudermetova,1.5,16,10397,
23/04/2022 15:36:22,Back,Veronika Kudermetova,1.76,9.14,10395,
23/04/2022 15:31:50,Lay,Veronika Kudermetova,1.99,8.08,10394,
