Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
17/05/2022 19:54:31,Back,Olga Danilovic,1.16,8.86,13604,
17/05/2022 19:54:31,Back,Olga Danilovic,1.23,6.2,13600,
17/05/2022 19:53:51,Lay,Olga Danilovic,1.1,100,12938,
17/05/2022 19:53:51,Lay,Olga Danilovic,1.2,50,12941,
17/05/2022 19:53:51,Back,Rebeka Masarova,10,3.86,13275,
17/05/2022 19:53:51,Back,Rebeka Masarova,10,1.6,13057,
17/05/2022 19:53:51,Back,Rebeka Masarova,7.8,0.12,13019,
17/05/2022 19:53:51,Back,Rebeka Masarova,10,0.86,13022,
17/05/2022 19:49:09,Back,Rebeka Masarova,3.1,0.95,13281,
17/05/2022 19:49:09,Back,Rebeka Masarova,3.4,0.5,13054,
17/05/2022 19:49:09,Back,Rebeka Masarova,3.65,0.3,13023,
17/05/2022 19:49:09,Lay,Olga Danilovic,1.4,10,12943,
17/05/2022 19:49:09,Lay,Olga Danilovic,1.3,20,12939,
17/05/2022 19:46:18,Back,Rebeka Masarova,2.38,0.58,13020,
17/05/2022 19:46:18,Back,Rebeka Masarova,2.42,0.85,13055,
17/05/2022 19:45:51,Back,Rebeka Masarova,2.04,1.93,13280,
17/05/2022 19:07:12,Back,Rebeka Masarova,1.88,1.36,13056,
17/05/2022 18:21:47,Back,Rebeka Masarova,1.76,1.05,13021,
17/05/2022 18:16:15,Back,Rebeka Masarova,1.54,2.22,13051,
17/05/2022 18:15:59,Back,Rebeka Masarova,1.51,3.91,13277,
17/05/2022 18:15:37,Back,Rebeka Masarova,1.34,5.89,13276,
17/05/2022 18:09:31,Lay,Rebeka Masarova,1.2,50,12937,
17/05/2022 17:44:03,Lay,Rebeka Masarova,1.3,20,12942,
17/05/2022 17:37:38,Lay,Rebeka Masarova,1.4,10,12944,
