Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
22/03/2022 01:59:43,Back,Alexander Ritschard,1.51,0.125,12610,
22/03/2022 01:59:43,Back,Alexander Ritschard,1.59,0.134999999999991,12660,
22/03/2022 01:59:43,Back,Alexander Ritschard,1.39,0.950000000000045,12661,
22/03/2022 01:59:43,Back,Alexander Ritschard,1.23,0.329999999999984,12663,
22/03/2022 01:59:43,Back,Alexander Ritschard,1.86,0.0699999999999932,12667,
22/03/2022 01:55:48,Lay,Alexander Ritschard,1.1,100,12555,
22/03/2022 01:47:31,Back,Alexander Ritschard,1.34,5.89,12608,
22/03/2022 01:42:23,Lay,Alexander Ritschard,1.2,50,12551,
22/03/2022 01:39:53,Lay,Alexander Ritschard,1.3,20,12557,
22/03/2022 01:37:40,Lay,Alexander Ritschard,1.4,10,12556,
