Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
22/04/2022 14:12:11,Back,Diego Schwartzman,1.16,8.86,10325,
22/04/2022 14:11:04,Lay,Diego Schwartzman,1.1,100,10001,
22/04/2022 13:34:19,Back,Diego Schwartzman,1.51,3.91,10150,
22/04/2022 13:18:43,Back,Diego Schwartzman,1.34,5.89,10151,
22/04/2022 13:09:41,Lay,Diego Schwartzman,1.2,50,10002,
22/04/2022 13:01:20,Back,Diego Schwartzman,1.76,1.05,10049,
22/04/2022 13:01:20,Back,Diego Schwartzman,1.88,1.36,10058,
22/04/2022 12:29:11,Back,Diego Schwartzman,1.54,2.22,10055,
22/04/2022 12:16:35,Lay,Diego Schwartzman,1.3,20,10004,
22/04/2022 12:14:42,Lay,Diego Schwartzman,1.4,10,10006,
