Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
28/03/2022 22:06:06,Back,Luca Van Assche,7.8,0.12,10851,
28/03/2022 22:06:06,Lay,Antoine Hoang,1.1,100,10781,
28/03/2022 22:06:06,Back,Luca Van Assche,7.8,0.12,10849,
28/03/2022 22:06:06,Lay,Antoine Hoang,1.2,50,10786,
28/03/2022 22:06:06,Back,Luca Van Assche,10,0.86,10845,
28/03/2022 22:06:06,Back,Luca Van Assche,10,0.86,10844,
28/03/2022 21:44:59,Back,Luca Van Assche,3.65,0.3,10853,
28/03/2022 21:44:59,Back,Luca Van Assche,3.65,0.3,10852,
28/03/2022 21:24:48,Back,Luca Van Assche,2.38,0.58,10848,
28/03/2022 21:24:48,Back,Luca Van Assche,2.38,0.58,10847,
28/03/2022 20:59:38,Back,Luca Van Assche,1.76,1.05,10850,
28/03/2022 20:59:38,Back,Luca Van Assche,1.76,1.05,10846,
28/03/2022 20:47:13,Back,Antoine Hoang,3.65,0.3,10804,
28/03/2022 20:47:13,Back,Antoine Hoang,3.65,0.3,10797,
28/03/2022 20:45:57,Lay,Luca Van Assche,1.4,10,10783,
28/03/2022 20:45:57,Lay,Luca Van Assche,1.4,10,10779,
28/03/2022 20:24:59,Back,Antoine Hoang,2.38,0.58,10803,
28/03/2022 20:24:59,Back,Antoine Hoang,2.38,0.58,10798,
28/03/2022 20:07:43,Back,Antoine Hoang,1.76,1.05,10802,
28/03/2022 20:07:43,Back,Antoine Hoang,1.76,1.05,10806,
28/03/2022 19:42:26,Lay,Antoine Hoang,1.4,10,10785,
28/03/2022 19:42:26,Lay,Antoine Hoang,1.4,10,10780,
