Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
09/04/2022 11:52:02,Lay,Holger Rune,3.55,0.15,264151286374,
09/04/2022 11:51:49,Back,Holger Rune,3.55,2.6,264151265071,
09/04/2022 11:51:25,Back,Holger Rune,2.36,3.75,264151196950,
09/04/2022 11:51:05,Back,Holger Rune,2.36,3.8,264151148467,
09/04/2022 11:51:04,Back,Holger Rune,2.34,3.8,264151147091,
09/04/2022 11:23:38,Back,Holger Rune,1.57,4.8,264147471411,
09/04/2022 11:23:13,Back,Holger Rune,1.56962783171521,6.18,264147437288,
09/04/2022 11:14:50,Back,Holger Rune,1.38,16.44,264146292639,
09/04/2022 10:28:13,Lay,Holger Rune,1.09,13.88,264140709541,
09/04/2022 10:20:20,Lay,Holger Rune,1.16,7.87,264139857774,
09/04/2022 10:17:38,Lay,Holger Rune,1.24,34.36,264139565460,
09/04/2022 10:13:32,Lay,Holger Rune,1.26,6.72,264138205962,
