Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
04/05/2022 17:26:04,Back,Rafael Nadal,1.11,49.18,10837,
04/05/2022 17:20:13,Lay,Rafael Nadal,1.16,47.06,10833,
04/05/2022 17:17:58,Back,Rafael Nadal,1.09,67.89,10830,
04/05/2022 17:10:54,Lay,Rafael Nadal,1.11,66.67,10823,
04/05/2022 16:50:20,Back,Rafael Nadal,1.08,67.91,10806,
04/05/2022 16:45:04,Lay,Rafael Nadal,1.1,66.67,10801,
04/05/2022 15:47:12,Back,Rafael Nadal,1.13,50.88,10797,
04/05/2022 15:40:26,Lay,Rafael Nadal,1.15,50,10791,
04/05/2022 15:34:25,Back,Rafael Nadal,1.3,23.57,10788,
04/05/2022 15:29:03,Lay,Rafael Nadal,1.34,22.86,10784,
04/05/2022 15:24:28,Back,Rafael Nadal,1.3,21.38,10780,
04/05/2022 15:20:50,Lay,Rafael Nadal,1.39,20,10777,
