Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
05/04/2022 19:36:18,Lay,Federico Coria,1.32,24.24,10536,
05/04/2022 19:27:04,Back,Federico Coria,1.04,84.62,10517,
05/04/2022 19:20:39,Lay,Federico Coria,1.1,80,10506,
05/04/2022 19:16:41,Back,Federico Coria,1.35,13.62,10498,
05/04/2022 19:12:06,Lay,Federico Coria,1.77,10.39,10490,
05/04/2022 19:02:46,Back,Alejandro Davidovich Fokina,2.36,7.81,10470,
05/04/2022 18:58:06,Lay,Alejandro Davidovich Fokina,1.75,10.53,10461,
05/04/2022 18:54:56,Back,Alejandro Davidovich Fokina,1.71,9.71,10458,
05/04/2022 18:50:36,Back,Federico Coria,2.06,11.57,10449,
05/04/2022 18:50:36,Lay,Alejandro Davidovich Fokina,1.93,8.6,10448,
05/04/2022 18:46:43,Lay,Federico Coria,1.49,16,10442,
05/04/2022 18:42:56,Back,Federico Coria,1.34,17.33,10435,
05/04/2022 18:40:27,Lay,Federico Coria,1.51,15.38,10430,
05/04/2022 18:36:23,Back,Federico Coria,1.36,16.67,10424,
05/04/2022 18:34:06,Lay,Federico Coria,1.53,14.81,10420,
05/04/2022 18:22:38,Back,Federico Coria,1.42,16.46,10397,
05/04/2022 18:14:17,Lay,Federico Coria,1.52,15.38,10380,
05/04/2022 18:14:13,Back,Alejandro Davidovich Fokina,2.88,6.69,10379,
05/04/2022 18:09:10,Lay,Alejandro Davidovich Fokina,1.71,11.27,10365,
05/04/2022 18:02:15,Back,Alejandro Davidovich Fokina,1.53,11.69,10356,
05/04/2022 17:58:24,Lay,Alejandro Davidovich Fokina,1.81,9.88,10350,
05/04/2022 17:55:48,Back,Alejandro Davidovich Fokina,1.58,11.66,10345,
05/04/2022 17:51:03,Lay,Alejandro Davidovich Fokina,1.75,10.53,10338,
05/04/2022 17:47:05,Back,Alejandro Davidovich Fokina,1.55,12.06,10332,
05/04/2022 17:42:46,Back,Federico Coria,2.36,7.42,10328,
05/04/2022 17:42:46,Lay,Alejandro Davidovich Fokina,1.73,10.81,10327,
05/04/2022 17:38:09,Lay,Federico Coria,1.84,9.52,10322,
05/04/2022 17:34:31,Back,Federico Coria,1.67,10.37,10316,
05/04/2022 17:30:48,Lay,Federico Coria,1.84,9.41,10311,
05/04/2022 17:30:48,Back,Alejandro Davidovich Fokina,2.18,8.77,10310,
05/04/2022 17:25:20,Lay,Alejandro Davidovich Fokina,1.72,11.11,10306,
