Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
27/05/2022 14:58:58,Back,Cori Gauff,1.2,28.67,10053,
27/05/2022 14:54:38,Lay,Cori Gauff,1.29,26.67,10050,
27/05/2022 14:31:34,Back,Cori Gauff,1.17,35.33,10041,
27/05/2022 14:28:51,Lay,Cori Gauff,1.24,33.33,10039,
27/05/2022 14:25:10,Back,Cori Gauff,1.17,51.96,10036,
27/05/2022 14:20:57,Lay,Cori Gauff,1.14,53.33,10033,
27/05/2022 14:17:05,Back,Cori Gauff,1.2,27.96,10031,
27/05/2022 14:15:17,Lay,Cori Gauff,1.3,25.81,10029,
27/05/2022 14:10:22,Back,Cori Gauff,1.47,14.27,10025,
27/05/2022 14:05:02,Lay,Cori Gauff,1.6,13.11,10022,
