Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
05/04/2022 18:56:59,Back,Nicolas Moreno De Albor,3.1,0.95,12825,
05/04/2022 18:56:26,Back,Nicolas Moreno De Albor,2.84,26.99,12868,
05/04/2022 18:43:58,Back,Nicolas Moreno De Albor,2.26,1.12,12870,
05/04/2022 18:43:24,Back,Nicolas Moreno De Albor,2.04,1.93,12824,
05/04/2022 18:42:32,Back,Nicolas Moreno De Albor,1.86,1.65,12871,
05/04/2022 18:42:32,Back,Nicolas Moreno De Albor,1.59,2.42,12867,
05/04/2022 18:33:52,Back,Nicolas Moreno De Albor,1.39,3.62,12866,
05/04/2022 18:33:52,Back,Nicolas Moreno De Albor,1.34,5.89,12822,
05/04/2022 18:33:52,Back,Nicolas Moreno De Albor,1.51,3.91,12821,
05/04/2022 18:33:00,Back,Nicolas Moreno De Albor,1.23,6.2,12864,
05/04/2022 18:20:12,Back,Nicolas Moreno De Albor,1.16,8.86,12863,
05/04/2022 18:17:37,Lay,Nicolas Moreno De Albor,1.1,100,12217,
05/04/2022 18:17:37,Back,Naoki Nakagawa,10,1.6,12603,
05/04/2022 18:17:37,Back,Naoki Nakagawa,10,0.86,12575,
05/04/2022 18:15:20,Back,Naoki Nakagawa,7.8,0.12,12574,
05/04/2022 18:14:06,Lay,Nicolas Moreno De Albor,1.2,50,12213,
05/04/2022 18:09:56,Back,Naoki Nakagawa,3.65,0.3,12577,
05/04/2022 18:09:56,Back,Naoki Nakagawa,3.4,0.5,12605,
05/04/2022 18:08:24,Back,Naoki Nakagawa,2.38,0.58,12576,
05/04/2022 18:08:24,Back,Naoki Nakagawa,2.42,0.85,12602,
05/04/2022 17:42:22,Back,Naoki Nakagawa,1.88,1.36,12604,
05/04/2022 17:40:04,Back,Naoki Nakagawa,1.76,1.05,12573,
05/04/2022 17:38:45,Back,Naoki Nakagawa,1.54,2.22,12597,
05/04/2022 17:19:55,Lay,Naoki Nakagawa,1.3,20,12218,
05/04/2022 17:18:02,Back,Nicolas Moreno De Albor,3.4,0.5,12331,
05/04/2022 17:18:02,Back,Nicolas Moreno De Albor,3.65,0.3,12315,
05/04/2022 17:18:02,Lay,Naoki Nakagawa,1.4,10,12214,
05/04/2022 17:15:58,Back,Nicolas Moreno De Albor,2.42,0.85,12332,
05/04/2022 17:15:58,Back,Nicolas Moreno De Albor,2.38,0.58,12314,
05/04/2022 17:00:01,Back,Nicolas Moreno De Albor,1.88,1.36,12333,
05/04/2022 16:48:05,Back,Nicolas Moreno De Albor,1.76,1.05,12311,
05/04/2022 16:45:03,Back,Nicolas Moreno De Albor,1.54,2.22,12326,
05/04/2022 16:30:05,Lay,Nicolas Moreno De Albor,1.3,20,12219,
05/04/2022 16:29:22,Lay,Nicolas Moreno De Albor,1.4,10,12215,
