Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
19/04/2022 18:40:33,Back,Mikael Torpegaard,10,0.86,12623,
19/04/2022 18:40:33,Back,Mikael Torpegaard,10,1.6,12706,
19/04/2022 18:40:33,Lay,Emilio Gomez,1.1,100,12567,
19/04/2022 18:40:33,Back,Mikael Torpegaard,10,3.86,12710,
19/04/2022 18:25:06,Back,Emilio Gomez,2.04,1.93,13061,
19/04/2022 18:25:01,Back,Emilio Gomez,1.88,1.36,13051,
19/04/2022 18:24:09,Back,Emilio Gomez,1.76,1.05,13054,
19/04/2022 18:23:08,Back,Emilio Gomez,1.54,2.22,13038,
19/04/2022 18:23:08,Back,Emilio Gomez,1.51,3.91,13057,
19/04/2022 18:22:21,Back,Emilio Gomez,1.34,5.89,13055,
19/04/2022 18:18:33,Back,Mikael Torpegaard,7.8,0.12,12627,
19/04/2022 18:16:40,Lay,Emilio Gomez,1.2,50,12569,
19/04/2022 18:11:58,Lay,Emilio Gomez,1.3,20,12570,
19/04/2022 18:11:58,Lay,Emilio Gomez,1.4,10,12571,
19/04/2022 18:11:58,Back,Mikael Torpegaard,3.4,0.5,12707,
19/04/2022 18:11:58,Back,Mikael Torpegaard,3.65,0.3,12625,
19/04/2022 18:11:42,Back,Mikael Torpegaard,3.1,0.95,12715,
19/04/2022 18:10:48,Back,Mikael Torpegaard,2.84,26.99,12762,
19/04/2022 17:53:51,Back,Mikael Torpegaard,2.42,0.85,12708,
19/04/2022 17:53:51,Back,Mikael Torpegaard,2.38,0.58,12626,
19/04/2022 17:50:57,Back,Mikael Torpegaard,2.26,1.12,12764,
19/04/2022 17:50:28,Back,Mikael Torpegaard,2.04,1.93,12714,
19/04/2022 17:45:19,Back,Mikael Torpegaard,1.88,1.36,12705,
19/04/2022 17:45:19,Back,Mikael Torpegaard,1.86,1.65,12763,
19/04/2022 17:43:58,Back,Mikael Torpegaard,1.76,1.05,12624,
19/04/2022 17:42:55,Back,Mikael Torpegaard,1.59,2.42,12758,
19/04/2022 17:42:21,Back,Mikael Torpegaard,1.54,2.22,12701,
19/04/2022 17:42:15,Back,Mikael Torpegaard,1.51,3.91,12712,
19/04/2022 17:41:11,Back,Mikael Torpegaard,1.39,3.62,12757,
19/04/2022 17:26:42,Back,Mikael Torpegaard,1.23,6.2,12756,
19/04/2022 17:13:20,Back,Mikael Torpegaard,1.16,8.86,12759,
19/04/2022 17:12:02,Lay,Mikael Torpegaard,1.1,100,12566,
19/04/2022 17:02:56,Back,Mikael Torpegaard,1.34,5.89,12711,
19/04/2022 16:57:50,Lay,Mikael Torpegaard,1.2,50,12568,
19/04/2022 16:52:49,Lay,Mikael Torpegaard,1.3,20,12565,
19/04/2022 16:28:35,Lay,Mikael Torpegaard,1.4,10,12572,
