Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
19/05/2022 16:05:54,Lay,Bernabe Zapata Miralles,1.1,100,10505,
19/05/2022 16:05:54,Back,Luca Nardi,10,3.86,10579,
19/05/2022 16:05:54,Back,Luca Nardi,10,0.86,10554,
19/05/2022 16:05:54,Back,Luca Nardi,10,1.6,10562,
19/05/2022 16:03:25,Back,Luca Nardi,7.8,0.12,10555,
19/05/2022 16:02:33,Lay,Bernabe Zapata Miralles,1.2,50,10508,
19/05/2022 16:02:00,Lay,Bernabe Zapata Miralles,1.3,20,10512,
19/05/2022 16:01:41,Back,Luca Nardi,3.65,0.3,10552,
19/05/2022 16:01:31,Lay,Bernabe Zapata Miralles,1.4,10,10511,
19/05/2022 16:01:31,Back,Luca Nardi,3.1,0.95,10580,
19/05/2022 16:01:31,Back,Luca Nardi,3.4,0.5,10563,
19/05/2022 16:01:08,Back,Luca Nardi,2.84,26.99,10597,
19/05/2022 15:50:49,Back,Luca Nardi,2.42,0.85,10565,
19/05/2022 15:49:24,Back,Luca Nardi,2.38,0.58,10553,
19/05/2022 15:47:45,Back,Luca Nardi,2.26,1.12,10599,
19/05/2022 15:47:36,Back,Luca Nardi,2.04,1.93,10581,
19/05/2022 15:47:36,Back,Luca Nardi,1.88,1.36,10564,
19/05/2022 15:47:36,Back,Luca Nardi,1.86,1.65,10598,
19/05/2022 15:47:03,Back,Luca Nardi,1.76,1.05,10556,
19/05/2022 15:46:15,Back,Luca Nardi,1.59,2.42,10595,
19/05/2022 15:40:44,Back,Luca Nardi,1.54,2.22,10558,
19/05/2022 15:40:20,Back,Luca Nardi,1.51,3.91,10576,
19/05/2022 15:39:17,Back,Luca Nardi,1.39,3.62,10591,
19/05/2022 15:37:20,Back,Luca Nardi,1.23,6.2,10592,
19/05/2022 15:36:31,Back,Luca Nardi,1.16,8.86,10594,
19/05/2022 15:22:50,Lay,Luca Nardi,1.1,100,10507,
19/05/2022 15:12:11,Back,Luca Nardi,1.34,5.89,10578,
19/05/2022 15:10:57,Lay,Luca Nardi,1.2,50,10506,
19/05/2022 15:06:46,Lay,Luca Nardi,1.3,20,10510,
19/05/2022 15:03:12,Lay,Luca Nardi,1.4,10,10509,
