Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
21/03/2022 21:59:46,Back,Emilio Gomez,1.34,0.399999999999977,11982,
21/03/2022 21:59:46,Back,Emilio Gomez,1.51,0.159999999999968,11983,
21/03/2022 21:59:46,Back,Emilio Gomez,2.04,0.00999999999999979,11987,
21/03/2022 21:59:46,Back,Emilio Gomez,1.39,0.239999999999895,11991,
21/03/2022 21:59:46,Back,Emilio Gomez,1.86,1.0150000000001,11995,
21/03/2022 21:57:19,Back,Emilio Gomez,1.16,8.86,11990,
21/03/2022 21:56:33,Lay,Emilio Gomez,1.1,100,11525,
21/03/2022 21:56:29,Lay,Emilio Gomez,1.2,50,11523,
21/03/2022 21:15:19,Back,Emilio Gomez,1.88,1.36,11754,
21/03/2022 21:06:54,Back,Emilio Gomez,1.76,1.05,11736,
21/03/2022 20:48:11,Back,Emilio Gomez,1.54,2.22,11752,
21/03/2022 20:42:15,Lay,Emilio Gomez,1.3,20,11529,
21/03/2022 20:39:56,Lay,Emilio Gomez,1.4,10,11527,
