Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
23/03/2022 18:30:10,Lay,Francisco Cerundolo,1.1,100,15085,
23/03/2022 18:30:01,Back,Tallon Griekspoor,10,0.86,15115,
23/03/2022 18:30:01,Back,Tallon Griekspoor,10,1.6,15404,
23/03/2022 18:29:22,Back,Tallon Griekspoor,7.8,0.12,15117,
23/03/2022 18:11:38,Back,Tallon Griekspoor,3.4,0.5,15403,
23/03/2022 18:04:40,Back,Tallon Griekspoor,2.42,0.85,15401,
23/03/2022 18:03:32,Back,Tallon Griekspoor,1.88,1.36,15402,
23/03/2022 18:00:29,Back,Tallon Griekspoor,1.54,2.22,15396,
23/03/2022 17:55:46,Lay,Tallon Griekspoor,1.3,20,15089,
23/03/2022 17:54:14,Back,Francisco Cerundolo,3.65,0.3,15299,
23/03/2022 17:54:04,Back,Francisco Cerundolo,3.4,0.5,15318,
23/03/2022 17:53:28,Back,Francisco Cerundolo,3.1,0.95,15350,
23/03/2022 17:49:54,Back,Francisco Cerundolo,2.38,0.58,15297,
23/03/2022 17:49:54,Back,Francisco Cerundolo,2.42,0.85,15317,
23/03/2022 17:49:17,Back,Francisco Cerundolo,2.04,1.93,15351,
23/03/2022 17:43:17,Back,Francisco Cerundolo,1.51,3.91,15348,
23/03/2022 17:41:48,Back,Francisco Cerundolo,1.34,5.89,15346,
23/03/2022 17:40:53,Lay,Francisco Cerundolo,1.2,50,15086,
23/03/2022 17:35:56,Back,Francisco Cerundolo,1.88,1.36,15319,
23/03/2022 17:29:35,Back,Francisco Cerundolo,1.54,2.22,15311,
23/03/2022 17:27:42,Lay,Francisco Cerundolo,1.3,20,15088,
23/03/2022 17:27:33,Back,Tallon Griekspoor,3.65,0.3,15116,
23/03/2022 17:08:17,Back,Francisco Cerundolo,1.76,1.05,15298,
23/03/2022 17:05:36,Lay,Francisco Cerundolo,1.4,10,15090,
23/03/2022 16:32:45,Back,Tallon Griekspoor,2.38,0.58,15114,
23/03/2022 16:28:35,Back,Tallon Griekspoor,1.76,1.05,15118,
23/03/2022 16:12:48,Lay,Tallon Griekspoor,1.4,10,15092,
