Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
29/05/2022 12:04:43,Back,Martina Trevisan,1.16,8.86,10087,
29/05/2022 12:01:41,Lay,Martina Trevisan,1.1,100,10000,
29/05/2022 11:51:51,Back,Martina Trevisan,1.88,1.36,10074,
29/05/2022 11:49:48,Back,Martina Trevisan,1.54,2.22,10069,
29/05/2022 11:47:26,Back,Martina Trevisan,1.51,3.91,10078,
29/05/2022 11:37:53,Back,Martina Trevisan,1.34,5.89,10079,
29/05/2022 11:34:14,Lay,Martina Trevisan,1.2,50,10002,
29/05/2022 11:20:46,Lay,Martina Trevisan,1.3,20,10004,
29/05/2022 10:55:50,Back,Martina Trevisan,2.38,0.58,10035,
29/05/2022 10:42:57,Back,Martina Trevisan,1.76,1.05,10032,
29/05/2022 10:37:42,Lay,Martina Trevisan,1.4,10,10006,
