Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
05/04/2022 18:20:00,Back,Alex Molcan,1.16,34.21,10392,
05/04/2022 18:16:31,Lay,Alex Molcan,1.24,32,10384,
05/04/2022 18:11:29,Back,Alex Molcan,1.15,38.25,10370,
05/04/2022 18:05:53,Lay,Alex Molcan,1.21,36.36,10362,
05/04/2022 17:37:09,Back,Alex Molcan,1.12,57.65,10321,
05/04/2022 17:32:26,Lay,Alex Molcan,1.13,57.14,10314,
05/04/2022 17:29:32,Back,Alex Molcan,1.17,40.69,10309,
05/04/2022 17:22:05,Lay,Alex Molcan,1.19,40,10303,
05/04/2022 17:18:48,Back,Alex Molcan,1.3,22.18,10298,
05/04/2022 17:15:11,Lay,Alex Molcan,1.37,21.05,10294,
