Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
06/04/2022 13:44:52,Back,Pavel Kotov,1.04,77.62,10951,
06/04/2022 13:35:28,Lay,Pavel Kotov,1.11,72.73,10948,
06/04/2022 13:31:53,Back,Pavel Kotov,1.31,17.51,10945,
06/04/2022 13:27:54,Lay,Pavel Kotov,1.52,15.09,10943,
06/04/2022 13:27:54,Back,Tallon Griekspoor,2.92,6.05,10942,
06/04/2022 13:17:48,Lay,Tallon Griekspoor,1.81,9.76,10936,
06/04/2022 13:13:54,Back,Tallon Griekspoor,1.64,16.65,10931,
06/04/2022 13:03:54,Lay,Tallon Griekspoor,1.4,19.51,10924,
06/04/2022 12:58:54,Back,Tallon Griekspoor,1.27,23.15,10921,
06/04/2022 12:57:07,Lay,Tallon Griekspoor,1.36,21.62,10920,
06/04/2022 12:51:06,Back,Tallon Griekspoor,1.51,21.19,10915,
06/04/2022 12:47:56,Lay,Tallon Griekspoor,1.32,24.24,10912,
06/04/2022 12:43:00,Back,Tallon Griekspoor,1.23,60.17,10909,
06/04/2022 12:36:08,Lay,Tallon Griekspoor,1.11,66.67,10905,
06/04/2022 12:25:50,Back,Tallon Griekspoor,1.12,54.28,10897,
06/04/2022 12:23:22,Lay,Tallon Griekspoor,1.14,53.33,10895,
06/04/2022 12:18:53,Back,Tallon Griekspoor,1.19,34.45,10889,
06/04/2022 12:14:58,Lay,Tallon Griekspoor,1.23,33.33,10884,
