Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
10/03/2022 21:54:28,Back,Jasmine Paolini,1.1,45.17,10673,
10/03/2022 21:49:02,Lay,Jasmine Paolini,1.18,42.11,10662,
10/03/2022 21:45:05,Back,Jasmine Paolini,1.12,40.83,10656,
10/03/2022 21:39:50,Lay,Jasmine Paolini,1.2,38.1,10649,
10/03/2022 21:37:30,Back,Jasmine Paolini,1.13,40.46,10645,
10/03/2022 21:32:59,Lay,Jasmine Paolini,1.2,38.1,10641,
10/03/2022 21:21:44,Back,Jasmine Paolini,1.32,19.1,10631,
10/03/2022 21:16:18,Lay,Jasmine Paolini,1.45,17.39,10627,
10/03/2022 21:11:29,Back,Jasmine Paolini,1.34,18.04,10621,
10/03/2022 21:08:24,Lay,Jasmine Paolini,1.48,16.33,10617,
10/03/2022 21:03:53,Back,Jasmine Paolini,1.78,13.13,10613,
10/03/2022 21:00:55,Lay,Jasmine Paolini,1.52,15.38,10608,
10/03/2022 20:55:52,Back,Jasmine Paolini,1.82,12.76,10605,
10/03/2022 20:53:31,Lay,Jasmine Paolini,1.51,15.38,10601,
