Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
11/03/2022 02:52:25,Back,Nick Kyrgios,1.19,32.58,10928,
11/03/2022 02:48:25,Lay,Nick Kyrgios,1.26,30.77,10925,
11/03/2022 02:46:05,Back,Nick Kyrgios,1.21,33.88,10922,
11/03/2022 02:38:15,Lay,Nick Kyrgios,1.23,33.33,10918,
11/03/2022 02:36:25,Back,Nick Kyrgios,1.18,35.03,10916,
11/03/2022 02:30:55,Lay,Nick Kyrgios,1.24,33.33,10909,
11/03/2022 02:26:52,Back,Nick Kyrgios,1.45,15.52,10907,
11/03/2022 02:22:38,Lay,Nick Kyrgios,1.52,14.81,10905,
11/03/2022 02:15:42,Back,Nick Kyrgios,1.47,14.9,10902,
11/03/2022 02:12:59,Lay,Nick Kyrgios,1.56,14.04,10898,
