Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
11/03/2022 05:01:25,Back,Marie Bouzkova,1.84,8.78,10993,
11/03/2022 04:54:56,Lay,Marie Bouzkova,1.94,8.33,10990,
11/03/2022 04:37:57,Back,Marie Bouzkova,1.36,18.27,10982,
11/03/2022 04:32:37,Lay,Marie Bouzkova,1.46,17.02,10980,
11/03/2022 04:26:52,Back,Marie Bouzkova,1.32,19.56,10978,
11/03/2022 04:16:50,Lay,Marie Bouzkova,1.42,18.18,10975,
11/03/2022 04:10:47,Back,Marie Bouzkova,1.35,17.43,10971,
11/03/2022 04:06:29,Lay,Marie Bouzkova,1.5,15.69,10967,
11/03/2022 04:02:23,Back,Marie Bouzkova,1.41,16,10966,
11/03/2022 03:57:19,Lay,Marie Bouzkova,1.55,14.55,10963,
11/03/2022 03:50:23,Back,Marie Bouzkova,1.83,12.46,10961,
11/03/2022 03:47:00,Lay,Marie Bouzkova,1.54,14.81,10960,
