Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
12/03/2022 20:52:53,Back,Aryna Sabalenka,5.3,3.25,11676,
12/03/2022 20:52:53,Lay,Jasmine Paolini,1.24,32,11675,
12/03/2022 20:47:32,Lay,Aryna Sabalenka,1.87,9.2,11671,
12/03/2022 20:43:36,Back,Aryna Sabalenka,1.47,12.18,11667,
12/03/2022 20:39:57,Lay,Aryna Sabalenka,1.79,10,11662,
12/03/2022 20:36:40,Back,Aryna Sabalenka,1.45,12.78,11659,
12/03/2022 20:33:07,Lay,Aryna Sabalenka,1.76,10.53,11657,
12/03/2022 20:30:19,Back,Aryna Sabalenka,1.48,12.64,11654,
12/03/2022 20:25:48,Lay,Aryna Sabalenka,1.73,10.81,11651,
12/03/2022 20:19:08,Back,Aryna Sabalenka,1.48,21.14,11647,
12/03/2022 20:14:18,Lay,Aryna Sabalenka,1.33,23.53,11644,
12/03/2022 20:08:11,Back,Aryna Sabalenka,1.2,31.11,11642,
12/03/2022 20:05:05,Lay,Aryna Sabalenka,1.26,29.63,11641,
12/03/2022 20:00:31,Back,Aryna Sabalenka,1.35,31.43,11639,
12/03/2022 19:57:12,Lay,Aryna Sabalenka,1.22,34.78,11638,
12/03/2022 19:38:19,Back,Aryna Sabalenka,1.08,59.79,11631,
12/03/2022 19:36:14,Lay,Aryna Sabalenka,1.13,57.14,11626,
12/03/2022 19:30:36,Back,Aryna Sabalenka,1.19,31.37,11619,
12/03/2022 19:25:39,Lay,Aryna Sabalenka,1.26,29.63,11612,
12/03/2022 19:21:09,Back,Aryna Sabalenka,1.18,29.93,11601,
12/03/2022 19:19:17,Lay,Aryna Sabalenka,1.28,27.59,11596,
