Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
08/03/2022 21:26:05,Lay,Vit Kopriva,1.1,100,11912,
08/03/2022 21:26:05,Back,Nicolas Jarry,10,10,12007,
08/03/2022 21:26:05,Back,Nicolas Jarry,10,10,11981,
08/03/2022 21:26:05,Back,Nicolas Jarry,10,10,11992,
08/03/2022 21:25:48,Back,Nicolas Jarry,7.8,7.8,11980,
08/03/2022 21:21:16,Back,Vit Kopriva,1.51,15,12295,
08/03/2022 21:21:16,Back,Vit Kopriva,1.54,15,12289,
08/03/2022 21:19:03,Back,Vit Kopriva,1.34,13,12293,
08/03/2022 21:17:57,Lay,Vit Kopriva,1.2,50,11910,
08/03/2022 21:14:44,Lay,Vit Kopriva,1.3,20,11914,
08/03/2022 21:03:50,Back,Vit Kopriva,1.76,1.7,12254,
08/03/2022 20:59:09,Back,Vit Kopriva,3.65,0.00499999999999901,12249,
08/03/2022 20:59:03,Back,Vit Kopriva,2.38,0.00500000000000256,12250,
08/03/2022 20:57:56,Back,Nicolas Jarry,3.65,3.65,11978,
08/03/2022 20:57:50,Back,Nicolas Jarry,3.4,34,11993,
08/03/2022 20:57:50,Lay,Vit Kopriva,1.4,10,11916,
08/03/2022 20:56:57,Back,Nicolas Jarry,3.1,31,12008,
08/03/2022 20:56:57,Back,Nicolas Jarry,2.84,26.99,12044,
08/03/2022 20:51:14,Back,Nicolas Jarry,2.42,24,11991,
08/03/2022 20:51:14,Back,Nicolas Jarry,2.26,1.12,12047,
08/03/2022 20:51:14,Back,Nicolas Jarry,2.38,2.38,11977,
08/03/2022 20:50:00,Back,Nicolas Jarry,2.04,20,12006,
08/03/2022 20:48:52,Back,Nicolas Jarry,1.76,1.7,11982,
08/03/2022 20:48:52,Back,Nicolas Jarry,1.86,1.65,12046,
08/03/2022 20:48:52,Back,Nicolas Jarry,1.88,18,11990,
08/03/2022 20:41:47,Back,Nicolas Jarry,1.59,2.42,12041,
08/03/2022 20:41:47,Back,Nicolas Jarry,1.51,15,12005,
08/03/2022 20:41:47,Back,Nicolas Jarry,1.54,15,11989,
08/03/2022 20:21:58,Back,Nicolas Jarry,1.39,3.62,12043,
08/03/2022 19:52:22,Back,Nicolas Jarry,1.34,13,12004,
08/03/2022 19:50:16,Back,Nicolas Jarry,1.23,6.2,12039,
08/03/2022 19:48:59,Back,Nicolas Jarry,1.16,8.86,12040,
08/03/2022 19:36:51,Lay,Nicolas Jarry,1.1,100,11909,
08/03/2022 19:27:04,Lay,Nicolas Jarry,1.2,50,11911,
08/03/2022 19:23:33,Lay,Nicolas Jarry,1.3,20,11915,
08/03/2022 19:18:47,Lay,Nicolas Jarry,1.4,10,11913,
