Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
14/03/2022 05:12:25,Back,Jaume Munar,1.16,8.86,15995,
14/03/2022 05:11:30,Back,Pablo Carreno Busta,7.8,0.12,15874,
14/03/2022 05:11:30,Back,Pablo Carreno Busta,10,0.86,15873,
14/03/2022 05:11:30,Back,Pablo Carreno Busta,10,3.86,15901,
14/03/2022 05:11:30,Back,Pablo Carreno Busta,10,1.6,15882,
14/03/2022 05:11:30,Lay,Jaume Munar,1.1,100,15849,
14/03/2022 05:11:27,Lay,Jaume Munar,1.2,50,15850,
14/03/2022 04:53:01,Back,Jaume Munar,10,0.86,15974,
14/03/2022 04:53:01,Back,Jaume Munar,10,1.6,15985,
14/03/2022 04:53:01,Back,Jaume Munar,7.8,0.12,15973,
14/03/2022 04:52:35,Back,Jaume Munar,3.4,0.5,15983,
14/03/2022 04:52:35,Back,Jaume Munar,3.65,0.3,15976,
14/03/2022 04:48:22,Back,Jaume Munar,2.42,0.85,15986,
14/03/2022 04:48:15,Back,Jaume Munar,2.38,0.58,15977,
14/03/2022 04:46:50,Back,Jaume Munar,1.88,1.36,15984,
14/03/2022 04:44:57,Back,Jaume Munar,1.76,1.05,15975,
14/03/2022 04:44:33,Back,Jaume Munar,1.54,2.22,15978,
14/03/2022 04:43:33,Lay,Jaume Munar,1.3,20,15847,
14/03/2022 04:43:26,Lay,Jaume Munar,1.4,10,15852,
14/03/2022 04:43:26,Back,Pablo Carreno Busta,3.4,0.5,15880,
14/03/2022 04:43:26,Back,Pablo Carreno Busta,3.1,0.95,15905,
14/03/2022 04:43:26,Back,Pablo Carreno Busta,3.65,0.3,15872,
14/03/2022 04:43:08,Back,Pablo Carreno Busta,2.84,26.99,15965,
14/03/2022 04:42:37,Back,Pablo Carreno Busta,2.42,0.85,15881,
14/03/2022 04:42:37,Back,Pablo Carreno Busta,2.38,0.58,15870,
14/03/2022 04:42:37,Back,Pablo Carreno Busta,2.26,1.12,15966,
14/03/2022 04:40:03,Back,Pablo Carreno Busta,1.86,1.65,15967,
14/03/2022 04:36:44,Back,Pablo Carreno Busta,1.59,2.42,15959,
14/03/2022 04:36:09,Back,Pablo Carreno Busta,1.39,3.62,15960,
14/03/2022 04:35:29,Back,Pablo Carreno Busta,1.23,6.2,15962,
14/03/2022 04:35:28,Back,Pablo Carreno Busta,1.16,8.86,15963,
14/03/2022 04:34:25,Lay,Pablo Carreno Busta,1.1,100,15851,
14/03/2022 04:26:39,Back,Pablo Carreno Busta,2.04,1.93,15906,
14/03/2022 04:14:47,Back,Pablo Carreno Busta,1.88,1.36,15883,
14/03/2022 04:14:01,Back,Pablo Carreno Busta,1.76,1.05,15871,
14/03/2022 03:54:42,Back,Pablo Carreno Busta,1.51,3.91,15902,
14/03/2022 03:38:39,Back,Pablo Carreno Busta,1.34,5.89,15900,
14/03/2022 02:53:04,Lay,Pablo Carreno Busta,1.2,50,15853,
14/03/2022 02:28:09,Back,Pablo Carreno Busta,1.54,2.22,15876,
14/03/2022 02:25:20,Lay,Pablo Carreno Busta,1.3,20,15848,
14/03/2022 02:24:44,Lay,Pablo Carreno Busta,1.4,10,15854,
