Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
18/04/2022 21:06:20,Back,Mitchell Krueger,1.23,6.2,11049,
18/04/2022 21:04:11,Back,Mitchell Krueger,1.16,8.86,11051,
18/04/2022 21:01:59,Lay,Mitchell Krueger,1.1,100,10971,
18/04/2022 20:54:17,Lay,Mitchell Krueger,1.2,50,10969,
18/04/2022 20:42:03,Back,Mitchell Krueger,2.42,0.85,10992,
18/04/2022 20:41:03,Back,Mitchell Krueger,2.38,0.58,10984,
18/04/2022 20:40:10,Back,Mitchell Krueger,1.88,1.36,10993,
18/04/2022 20:39:38,Back,Mitchell Krueger,1.76,1.05,10982,
18/04/2022 20:33:39,Back,Mitchell Krueger,1.54,2.22,10990,
18/04/2022 20:26:32,Lay,Mitchell Krueger,1.3,20,10973,
18/04/2022 20:10:58,Lay,Mitchell Krueger,1.4,10,10974,
