Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
23/04/2022 01:29:50,Back,Marc-Andrea Huesler,2.38,0.58,11170,
23/04/2022 01:29:50,Back,Marc-Andrea Huesler,2.26,1.12,11183,
23/04/2022 01:29:50,Back,Marc-Andrea Huesler,2.42,0.85,11166,
23/04/2022 01:19:51,Back,Marc-Andrea Huesler,2.04,1.93,11171,
23/04/2022 01:18:23,Back,Marc-Andrea Huesler,1.88,1.36,11168,
23/04/2022 01:18:23,Back,Marc-Andrea Huesler,1.76,1.05,11172,
23/04/2022 01:18:23,Back,Marc-Andrea Huesler,1.86,1.65,11184,
23/04/2022 01:18:20,Back,Marc-Andrea Huesler,1.59,2.42,11176,
23/04/2022 01:18:20,Back,Marc-Andrea Huesler,1.39,3.62,11177,
23/04/2022 01:17:55,Back,Marc-Andrea Huesler,1.23,6.2,11179,
23/04/2022 01:16:19,Back,Marc-Andrea Huesler,1.16,8.86,11178,
23/04/2022 01:08:08,Lay,Marc-Andrea Huesler,1.1,100,11099,
23/04/2022 01:05:55,Back,Marc-Andrea Huesler,1.51,3.91,11151,
23/04/2022 01:05:55,Back,Marc-Andrea Huesler,1.54,2.22,11157,
23/04/2022 01:05:26,Back,Marc-Andrea Huesler,1.34,5.89,11150,
23/04/2022 01:00:17,Lay,Marc-Andrea Huesler,1.3,20,11106,
23/04/2022 01:00:17,Lay,Marc-Andrea Huesler,1.4,10,11105,
23/04/2022 01:00:17,Lay,Marc-Andrea Huesler,1.2,50,11100,
