Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
29/04/2022 14:59:24,Back,Kaia Kanepi,1.76,0.204999999999984,16494,
29/04/2022 14:59:24,Back,Kaia Kanepi,1.34,5.89,16524,
29/04/2022 14:59:24,Back,Kaia Kanepi,1.51,0.755000000000109,16525,
29/04/2022 14:59:24,Back,Kaia Kanepi,1.23,0.0250000000000057,16576,
29/04/2022 14:59:24,Back,Kaia Kanepi,1.59,2.23500000000013,16577,
29/04/2022 14:59:24,Back,Kaia Kanepi,1.39,0.590000000000073,16578,
29/04/2022 14:59:24,Back,Kaia Kanepi,1.86,0.0200000000000014,16584,
29/04/2022 14:41:28,Lay,Kaia Kanepi,1.1,100,16470,
29/04/2022 14:35:38,Lay,Kaia Kanepi,1.2,50,16474,
29/04/2022 14:22:10,Lay,Kaia Kanepi,1.3,20,16472,
29/04/2022 14:12:15,Lay,Kaia Kanepi,1.4,10,16476,
