Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
29/04/2022 20:03:13,Lay,Yunseong Chung,1.1,100,17332,
29/04/2022 19:47:58,Back,Yunseong Chung,2.04,1.93,17376,
29/04/2022 19:47:29,Back,Yunseong Chung,1.88,1.36,17360,
29/04/2022 19:47:09,Back,Yunseong Chung,1.76,1.05,17349,
29/04/2022 19:45:30,Back,Yunseong Chung,1.54,2.22,17353,
29/04/2022 19:45:30,Back,Yunseong Chung,1.51,3.91,17372,
29/04/2022 19:34:48,Back,Yunseong Chung,1.34,5.89,17371,
29/04/2022 19:32:07,Lay,Yunseong Chung,1.2,50,17327,
29/04/2022 19:22:30,Lay,Yunseong Chung,1.3,20,17333,
29/04/2022 19:19:02,Lay,Yunseong Chung,1.4,10,17328,
