Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
13/03/2022 19:54:47,Back,Liudmila Samsonova,1.21,27.94,12168,
13/03/2022 19:51:04,Lay,Liudmila Samsonova,1.31,25.81,12165,
13/03/2022 19:47:38,Back,Liudmila Samsonova,1.19,29.68,12163,
13/03/2022 19:43:21,Lay,Liudmila Samsonova,1.28,27.59,12160,
13/03/2022 19:40:27,Back,Liudmila Samsonova,1.18,30.74,12156,
13/03/2022 19:36:25,Lay,Liudmila Samsonova,1.27,28.57,12152,
13/03/2022 19:28:30,Back,Liudmila Samsonova,1.19,32.58,12145,
13/03/2022 19:19:34,Lay,Liudmila Samsonova,1.26,30.77,12135,
13/03/2022 19:15:09,Back,Liudmila Samsonova,1.2,36.67,12130,
13/03/2022 19:10:47,Lay,Liudmila Samsonova,1.21,36.36,12127,
13/03/2022 19:09:02,Back,Liudmila Samsonova,1.13,40.46,12126,
13/03/2022 19:06:15,Lay,Liudmila Samsonova,1.2,38.1,12124,
13/03/2022 19:00:59,Back,Liudmila Samsonova,1.14,34.81,12121,
13/03/2022 18:56:19,Lay,Liudmila Samsonova,1.24,32,12118,
13/03/2022 18:50:24,Back,Liudmila Samsonova,1.22,30.6,12111,
13/03/2022 18:40:33,Lay,Liudmila Samsonova,1.26,29.63,12101,
13/03/2022 18:38:20,Back,Liudmila Samsonova,1.18,34.74,12099,
13/03/2022 18:31:34,Lay,Liudmila Samsonova,1.23,33.33,12089,
13/03/2022 18:27:14,Back,Liudmila Samsonova,1.17,36.26,12083,
13/03/2022 18:22:16,Lay,Liudmila Samsonova,1.22,34.78,12076,
13/03/2022 18:18:19,Back,Liudmila Samsonova,1.29,22.36,12072,
13/03/2022 18:15:13,Lay,Liudmila Samsonova,1.37,21.05,12068,
