Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
13/04/2022 16:46:39,Back,Jannik Sinner,1.14,41.75,10395,
13/04/2022 16:43:32,Lay,Jannik Sinner,1.19,40,10394,
13/04/2022 16:37:36,Back,Jannik Sinner,1.13,38.93,10391,
13/04/2022 16:32:00,Lay,Jannik Sinner,1.21,36.36,10388,
13/04/2022 16:28:27,Back,Jannik Sinner,1.48,12.95,10386,
13/04/2022 16:23:13,Lay,Jannik Sinner,1.7,11.27,10384,
13/04/2022 16:19:30,Back,Jannik Sinner,1.46,30.13,10382,
13/04/2022 16:15:13,Lay,Jannik Sinner,1.21,36.36,10380,
13/04/2022 16:12:12,Back,Jannik Sinner,1.43,17.26,10379,
13/04/2022 15:59:25,Lay,Jannik Sinner,1.48,16.67,10373,
13/04/2022 15:55:26,Back,Jannik Sinner,1.83,13.39,10370,
13/04/2022 15:46:39,Lay,Jannik Sinner,1.47,16.67,10366,
13/04/2022 15:44:01,Back,Jannik Sinner,1.34,18.16,10364,
13/04/2022 15:38:06,Lay,Jannik Sinner,1.46,16.67,10360,
