Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
29/03/2022 14:27:48,Back,Oceane Dodin,1.49,10.9,10349,
29/03/2022 14:24:56,Lay,Oceane Dodin,1.97,8.25,10347,
29/03/2022 14:21:31,Back,Oceane Dodin,1.48,33.86,10344,
29/03/2022 14:17:26,Lay,Oceane Dodin,1.19,42.11,10341,
29/03/2022 14:12:56,Back,Oceane Dodin,1.44,11.8,10339,
29/03/2022 14:09:31,Lay,Oceane Dodin,1.89,8.99,10337,
29/03/2022 14:06:12,Back,Oceane Dodin,1.5,22.94,10334,
29/03/2022 14:01:21,Lay,Oceane Dodin,1.29,26.67,10331,
29/03/2022 13:57:52,Back,Oceane Dodin,1.48,22.67,10329,
29/03/2022 13:53:19,Lay,Oceane Dodin,1.3,25.81,10328,
29/03/2022 13:50:09,Back,Oceane Dodin,1.48,23.24,10326,
29/03/2022 13:45:59,Lay,Oceane Dodin,1.29,26.67,10324,
29/03/2022 13:37:29,Back,Lesia Tsurenko,2.26,9.19,10323,
29/03/2022 13:35:35,Back,Oceane Dodin,2.62,6.11,10321,
29/03/2022 13:35:35,Lay,Lesia Tsurenko,1.61,12.9,10320,
29/03/2022 13:31:19,Lay,Oceane Dodin,2,8,10319,
29/03/2022 13:17:08,Back,Lesia Tsurenko,1.89,11.41,10318,
29/03/2022 13:13:47,Lay,Lesia Tsurenko,1.59,13.56,10317,
29/03/2022 13:03:52,Back,Lesia Tsurenko,1.85,12.19,10316,
29/03/2022 13:00:52,Lay,Lesia Tsurenko,1.55,14.55,10315,
