Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
17/05/2022 18:01:36,Lay,Jelle Sels,1.1,100,12597,
17/05/2022 18:01:00,Back,Malek Jaziri,10,3.86,12947,
17/05/2022 18:01:00,Back,Malek Jaziri,10,1.6,12929,
17/05/2022 18:01:00,Back,Malek Jaziri,10,0.86,12907,
17/05/2022 17:59:55,Back,Jelle Sels,2.42,0.0150000000000006,13117,
17/05/2022 17:58:55,Back,Jelle Sels,1.34,5.89,13148,
17/05/2022 17:56:49,Back,Malek Jaziri,7.8,0.12,12911,
17/05/2022 17:56:40,Lay,Jelle Sels,1.2,50,12595,
17/05/2022 17:53:13,Lay,Jelle Sels,1.3,20,12598,
17/05/2022 17:52:01,Back,Malek Jaziri,3.65,0.3,12909,
17/05/2022 17:48:17,Back,Malek Jaziri,3.4,0.5,12928,
17/05/2022 17:47:12,Back,Malek Jaziri,3.1,0.95,12950,
17/05/2022 17:40:49,Back,Malek Jaziri,2.42,0.85,12927,
17/05/2022 17:40:49,Back,Malek Jaziri,2.38,0.58,12908,
17/05/2022 17:39:04,Back,Malek Jaziri,2.04,1.93,12951,
17/05/2022 17:37:25,Back,Malek Jaziri,1.88,1.36,12926,
17/05/2022 17:35:19,Back,Malek Jaziri,1.76,1.05,12910,
17/05/2022 17:33:57,Back,Malek Jaziri,1.51,3.91,12946,
17/05/2022 17:33:57,Back,Malek Jaziri,1.54,2.22,12924,
17/05/2022 17:32:22,Back,Malek Jaziri,1.34,5.89,12945,
17/05/2022 17:26:54,Lay,Malek Jaziri,1.2,50,12596,
17/05/2022 17:21:31,Lay,Malek Jaziri,1.3,20,12601,
17/05/2022 17:18:17,Lay,Malek Jaziri,1.4,10,12602,
17/05/2022 17:18:17,Back,Jelle Sels,3.65,0.3,12610,
17/05/2022 17:01:16,Back,Jelle Sels,2.38,0.58,12611,
17/05/2022 16:58:01,Back,Jelle Sels,1.76,1.05,12609,
17/05/2022 16:28:12,Lay,Jelle Sels,1.4,10,12599,
