Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
18/04/2022 12:46:53,Back,Aljaz Bedene,1.34,5.89,10242,
18/04/2022 12:46:53,Back,Aljaz Bedene,1.23,6.2,10236,
18/04/2022 12:46:16,Back,Aljaz Bedene,1.16,8.86,10239,
18/04/2022 12:43:46,Back,Mikhail Kukushkin,10,3.86,10230,
18/04/2022 12:43:46,Back,Mikhail Kukushkin,10,1.6,10218,
18/04/2022 12:43:46,Back,Mikhail Kukushkin,10,0.86,10200,
18/04/2022 12:43:46,Back,Mikhail Kukushkin,7.8,0.12,10198,
18/04/2022 12:43:46,Lay,Aljaz Bedene,1.1,100,10001,
18/04/2022 12:43:46,Lay,Aljaz Bedene,1.2,50,10003,
18/04/2022 12:41:42,Back,Mikhail Kukushkin,3.65,0.3,10197,
18/04/2022 12:41:36,Back,Mikhail Kukushkin,3.4,0.5,10219,
18/04/2022 12:41:18,Back,Mikhail Kukushkin,3.1,0.95,10232,
18/04/2022 12:36:27,Back,Mikhail Kukushkin,2.38,0.58,10199,
18/04/2022 12:36:27,Back,Mikhail Kukushkin,2.42,0.85,10216,
18/04/2022 12:35:40,Back,Mikhail Kukushkin,2.04,1.93,10233,
18/04/2022 12:35:34,Back,Mikhail Kukushkin,1.88,1.36,10217,
18/04/2022 12:35:04,Back,Mikhail Kukushkin,1.76,1.05,10201,
18/04/2022 12:34:46,Back,Mikhail Kukushkin,1.54,2.22,10212,
18/04/2022 12:34:28,Back,Mikhail Kukushkin,1.51,3.91,10227,
18/04/2022 12:33:11,Back,Mikhail Kukushkin,1.34,5.89,10228,
18/04/2022 12:27:53,Lay,Mikhail Kukushkin,1.2,50,10000,
18/04/2022 12:24:40,Lay,Mikhail Kukushkin,1.3,20,10004,
18/04/2022 12:22:10,Back,Aljaz Bedene,3.4,0.5,10136,
18/04/2022 12:22:10,Back,Aljaz Bedene,3.65,0.3,10093,
18/04/2022 12:22:10,Lay,Mikhail Kukushkin,1.4,10,10007,
18/04/2022 12:19:52,Back,Aljaz Bedene,2.42,0.85,10137,
18/04/2022 12:19:52,Back,Aljaz Bedene,2.38,0.58,10095,
18/04/2022 12:19:15,Back,Aljaz Bedene,1.88,1.36,10135,
18/04/2022 11:38:21,Back,Aljaz Bedene,1.54,2.22,10132,
18/04/2022 11:23:36,Lay,Aljaz Bedene,1.3,20,10005,
18/04/2022 10:45:35,Back,Aljaz Bedene,1.76,1.05,10092,
18/04/2022 10:45:01,Lay,Aljaz Bedene,1.4,10,10006,
