Time, Back/Lay, Selection, Odds, Stake, Reference, SP Bet
22/03/2022 22:23:09,Back,Elena-Gabriela Ruse,1.39,3.62,14211,
22/03/2022 22:22:23,Back,Elena-Gabriela Ruse,1.34,5.89,14192,
22/03/2022 22:16:22,Back,Elena-Gabriela Ruse,1.23,6.2,14212,
22/03/2022 22:10:50,Back,Elena-Gabriela Ruse,1.16,8.86,14209,
22/03/2022 22:08:37,Lay,Elena-Gabriela Ruse,1.1,100,14027,
22/03/2022 22:01:37,Lay,Elena-Gabriela Ruse,1.2,50,14028,
22/03/2022 21:59:48,Back,Elena-Gabriela Ruse,1.54,0.0900000000000318,14155,
22/03/2022 21:57:39,Lay,Elena-Gabriela Ruse,1.3,20,14030,
22/03/2022 21:32:20,Back,Elena-Gabriela Ruse,1.76,1.05,14090,
22/03/2022 21:24:50,Lay,Elena-Gabriela Ruse,1.4,10,14032,
